SUBJECT,STRM,CATALOG_NBR,ACAD_CAREER,CLASS_ATTRIBUTES,CLASS_ATTRIBUTE_VALUES_CIV,CLASS_ATTRIBUTE_VALUES_DOM,CLASS_ATTRIBUTE_VALUES_INT,COURSE_TITLE,DESCRLONG,UNITS,ENROLL_REQUIREMENTS,OFFERED
AAV,1224,102,UGRD,Writing Intensive,,,Writing Intensive,AAV 102 - VISUAL THINKING,"Visual Thinking initiates investigation into current forms of artistic production.  At the heart of Visual Thinking lies the question ""What is Art?"" Visual Thinking challenges the traditional status of the art object as product and refocuses artistic creativity in the process of art making, the ideas invoked and the meaning of cultural production. Among the approaches to art making that will be researched and put into practice will be the readymade, public intervention, performance and ephemeral works, language and the use of signifiers.",1,,Fall and Spring
AAV,1224,111,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,AAV 111 - DRAWING,"The purpose of the course is to cultivate the student's ability to express ideas visually and to develop confidence in drawing a variety of subjects with diverse materials.  Exercises cultivate skill in determining composition, rendering geometric shapes, depicting perspective and three dimensional illusion, fashioning light, shade, proportion, scale, surface and textures as well as arranging still life compositions.  Research and investigation historical and the contemporary drawing practices will be investigated.",1,,Fall and Spring
AAV,1224,130,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,AAV 130 - PHOTOGRAPHY I,This course is a guided studio experience in digital art with emphasis on 2D digital imaging. Investigations include the creative possibilities of graphics and contemporary background of computers and digital arts.  Students will use computer imaging and illustration to convey artistic concepts and personal observations pertaining to defined themes.  Prior experience with the computer is not required.  Extra lab hours outside of class meeting times will be required to complete assignments.,1,,Fall and Spring
AAV,1224,231,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,AAV 231 - STUDIO LIGHTING: PHOTOGRAPHY/VIDEO,"This course introduces students to various photographic equipment and practice using natural light and using flash. With an emphasis on personal vision, this course is designed to develop technological skills, personal aesthetics, an awareness of the history of photography, and critical thinking.",1,,Spring
AAV,1224,318,UGRD,Writing Intensive,,,Writing Intensive,AAV 318 - THEORY & PRACTICE IN FINE ART,"The course is designed to develop the student's understanding of theoretical material and issues in contemporary fine arts.  The course will be composed of readings, seminar discussion, field investigations, and class and faculty critique.  Field investigations will include gallery visits, meetings with curators, and visits to artists' studios.  This exposure will enhance the student's knowledge and understanding of issues related to the art profession. Students will be required to research a relevant topic in contemporary art and present this material to the class and instructor.  Student research will be guided by individual, class, and faculty critiques in the initial development of their Senior Thesis.  This will culminate in a Senior Thesis Exhibit in AAV 412, the sequel to this course.",1,"PRE Sophomore Review (AFA 200) is a prerequisite, must be a Junior in Good Standing [RG5696]",Spring
AAV,1224,338,UGRD,Writing Intensive,,,Writing Intensive,AAV 338 - THEORY & PRACTICE IN PHOTOGRAPHY AND VIDEO,"The 20th century marked the advent of visual artists employing electronic equipment to develop creative works, from mechanical sculptures to film, television and radio to evolving digital processes.  This class offers an informed historical vision of the developments that have brought us to a contemporary artistic world that embraces emerging technologies as a creative medium.  A critical understanding of how culture and technology are interwoven and how it is that these two elements of human experience affect one another is investigated.  The course content includes an introduction to various artists using electronic media, video, robotics and the Internet as well as a chronological timeline of the development of new media.",1,PRE At least two 300 level studio courses are a prerequisite [RG5697],Spring
AAV,1224,385,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,AAV 385 - ELECTRONIC MUSIC,"This course introduces students to electronic music studio techniques, including MIDI, sequencing, sound synthesis, sampling, mixing, and audio production. It also covers theoretical and historical developments in the field of electronic music, including a review of compositions, styles, and technologies. Students create their own musical compositions in the computer lab. Open to students of any major. Approved for Liberal Learning credit in Literary, Visual & Performing Arts.",1,ADA 180/AAV 130 is a prerequisite [RQ184],Fall and Spring
ACC,1224,498,UGRD,Writing Intensive,,,Writing Intensive,ACC 498 - SEMINAR IN ACCOUNTING ISSUES,"This writing intensive course is designed for students who will be accounting professionals. The broad objective of this course is to integrate and enhance study of accounting topics, concepts and methods, building on the knowledge acquired from earlier courses in the program. This course is designed to address these Program Learning Goals: Accounting concepts analysis and application, critical thinking in accounting, and effective communication.  This course should be taken in the last semester.",1,"ACC 302, ACC 311 & ACC 321 are prerequisites. [RQ5754]",Fall and Spring
ANT,1224,110,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives",,ANT 110 - INTRO TO CULTURAL ANTHROPOLOGY,"A survey of the major concepts of social-cultural anthropology.  Cross-cultural comparison will be a central concern of the course, as will the process of cultural change.",1,,Fall and Spring
ANT,1224,111,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives|Natural Science",,ANT 111 - INTRO TO BIOLOGICAL ANTHROPOLOGY,"What makes us human?  Is it the use of language, the ability to manipulate material culture or the fact that we are bipedal?  This course will focus on evolutionary theory and the theory of natural selection, the behavior and anatomy of non-human primates, and the evolution of modern humans.  Students will also learn how anthropology is directly related to other disciplines including sociology, biology, ecology and geology. (Note:  this course has no lab, and while it satisfies the liberal learning requirement for a natural science course, it does NOT satisfy the requirement for a natural science with lab).",1,,Course is offered once a year.
ANT,1224,205,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,ANT 205 - HUMAN EVOLUTION,"The study of human evolutionary past, using various methods, including archaeology and the interpretation of skeletal morphology. Evolutionary principles and processes of change  are used asa theoretical background to examine our non-human primate relatives, the human fossil record, and biological variation in modern human populations. It is recommended, but not required, that students complete ANT111 prior to enrolling in this course.",1,,Course is offered once a year.
ANT,1224,311,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender|Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,ANT 311 - GENDER AND MIGRATION,"Examines the role of gender in migration both past and present.  The course takes a comparative approach, exploring the divergent ways in which migration is gendered for men and women. It also considers the experiences of migrants in various societies and with different national, ethnic, racial and class backgrounds",1,,Occasionally
ANT,1224,341,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,ANT 341 - ENVIRONMENTAL ANTHROPOLOGY,"This course reviews classic perspectives in cultural ecology, but focuses on the more recent scholarship, especially scholarship that addresses human ecology, political ecology and urban ethnography to give the student perspective on how the environment is experienced in multiple cultural contexts, and how the environment affects different cultures in various ways.",1,,Occasionally
ANT,1224,370,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,ANT 370 - TOPICS IN ANTHROPOLOGY,Current or specialized topics proposed by faculty or students and approved by the department.  Offered primarily for juniors and seniors.  It may not be appropriate for freshmen and sophomores.  The class may be taken for credit several times if content differs each time.,1,,Occasionally
BIO,1224,104,UGRD,Liberal Learning Domains,,Natural Science,,BIO 104 - INQUIRIES IN THE LIFE SCIENCES,"Restriction: Open only to students in Elementary Education, Early Childhood Education, Education of the Deaf and Hard of Hearing, and Special Education.   An introduction to general chemistry and biology concepts and their relationship with current issues in the study of genetics, the environment and human health. Scientific principles necessary to understand topics such as human nutrition and disease, human impacts on the biosphere, and the debate over teaching evolution in public schools are considered. A strong emphasis is placed upon the process of science as a form of inquiry, and the theory of evolution as the foundation of modern biology. Laboratory experiments, discussions and written assignments will complement the course, which is designed to meet New Jersey state content curriculum standards in chemistry and life science.",1,"Reserved for School of Education Students only, elementary and early childhood majors, including Urban Education majors.  [RQ613]",Fall and Spring
BIO,1224,142,UGRD,Liberal Learning Domains,,Natural Science,,BIO 142 - PRIN HUM ANATOMY & PHYSIOLOGY II,Designed to meet the needs of students who wish to achieve an understanding of the structure and function of the human body. The concept of homeostasis will be emphasized. Includes a laboratory component that uses the cat as the dissection specimen. Opportunities for collecting and analyzing data are provided.,1,Reserved fpr Nursing Students. [RQ#6077],Spring
BIO,1224,171,UGRD,Liberal Learning Domains,,Natural Science,,BIO 171 - HUMAN FORM AND FUNCTION,"The form and function of the human body are highlighted to illustrate the interdependence of structure and function.  Evolution of these attributes are contrasted and explored.  The basic principles governing life, and the relationship of biology to other scientific disciplines and mathematics are explored, as are the influence of biology on society and the accompanying ethical issues.",1,,Spring
BIO,1224,201,UGRD,Liberal Learning Domains,,Natural Science,,BIO 201 - FOUNDATIONS OF BIOLOGICAL INQUIRY,"An inquiry-based introduction to fundamental concepts and  theories in biology  that we will explore  together as scientists. The course  utilizes case studies and data from the scientific literature to examine the concepts that weave  through three major themes: (1) What is life? Organization and  Flow of Information; (2) Evolution: Explaining Biodiversity; and (3) Biological Systems. Students are expected to engage with material presented during class to gain a deep understanding of the course goals, to develop critical  thinking skills to apply to new  problems, and  to use the scientific method to investigate biological  phenomena. Throughout the semester, students will have the opportunity to conduct novel research  in a laboratory setting. This course is designed for biology  majors, but is open  to students in other  majors who seek a rigorous background in biology.",1,,Fall and Spring
BIO,1224,221,UGRD,Writing Intensive,,,Writing Intensive,BIO 221 - ECOLOGY AND FIELD BIOLOGY,"An introduction to modern ecology.  The interactions that determine the distribution, abundance, and function of organisms, populations, and species are examined both theoretically and practically within an evolutionary context.  Topics covered include physiological ecology, optimization theory, natural selection, population biology, species interactions, community relationships, and ecosystem dynamics.  Laboratory and field activities emphasize quantitative and experimental approaches to the study of ecology. *Field trips may be required at the student¿s expense.",1,PRE BIO 201 & WRI 102 & (MAT 120 or MAT 127) are prerequisites [RG#5659],Fall and Spring
BIO,1224,393,UGRD,Liberal Learning Domains,,Natural Science,,BIO 393 - INDEPENDENT RESEARCH IN BIOLOGY I,"A hands-on research experience conducted under the supervision of a research mentor. This experience culminates in the production of a final product, the specific details of which are at the discretion of the advisor. Examples of appropriate final products include, but are not limited to, significant data analysis, a paper or a poster. All final documents must be archived by the Department of Biology. May be taken for credit more than once. Only one course unit of research courses (BIO 393, 394, 399, 493, 494) can count as a biology option course.",.25 - 1,"BIO 185 or BIO 201, with a grade of C- or higher, is a prerequisite [RQ337]",Fall and Spring
BIO,1224,471,UGRD,Liberal Learning Domains,,Natural Science,,BIO 471 - GENOMICS & BIOINFORMATICS,"This course will cover the theoretical and practical components of genomics and bioinformatics. The major topics will include mapping and sequencing, genomes, sequence alignment of nucleic acids and proteins, parallel profiling of gene expression, proteomics, phylogenetic analysis, and data mining. The laboratory will begin with the in silico analysis of gene families, continue to the formulation of a testable hypothesis about gene function, writing a mini-grant for peer review, testing of the hypothesis in a model organism, and conclude with a formal presentation of the data generated during the semester. To efficiently cover the main concepts from the field the course has been divided into three parts: Part I: Analysis of DNA, RNA, and protein sequences in databases. Part II: Genome wide analysis of RNA and protein. Part III: Comparative genomic analysis.",1,"BIO 211, BIO 221 & BIO 231 are prerequisites or co-requisites.",Spring
BIO,1224,495,UGRD,Writing Intensive,,,Writing Intensive,BIO 495 - INDEPENDENT RESEARCH IN BIOLOGY CAPSTONE,"Prerequisites: Completion of at least one course unit of BIO 493/494 under the same instructor and a minimum overall GPA of 2.5  May substitute for BIO 498/Biological Seminar as the capstone course, but not as a biology option course.  Pursuit of an original research project under the direction of a supervising professor.  Results and conclusions serve as the basis of an oral or poster presentation to faculty and students as well as a written paper that has gone through multiple drafts and submitted to the faculty mentor and archived by the Department of Biology.  Students should enroll in this course during their final semester of independent research.",1,BIO 493 or BIO 494 is a prerequisite.  [RQ#5616],Fall and Spring
BIO,1224,496,UGRD,Writing Intensive,,,Writing Intensive,BIO 496 - HONORS INDEPENDENT RESEARCH IN BIOLOGY CAPSTONE,"Prerequisites: Completion of at least one course unit of BIO 493/494 under the same instructor and a minimum overall GPA of 2.5  May substitute for BIO 498/Biological Seminar as the capstone course, but not as a biology option course.  Only for students in college-wide honors program or pursuing honors in biology.  Pursuit of an original research project under the direction of a supervising professor.  Results and conclusions serve as the basis of an oral or poster presentation to faculty and students as well as a written paper that has gone through multiple drafts and submitted to the faculty mentor and archived by the Department of Biology.  Students should enroll in this course during their final semester of independent research.",1,BIO 493 or BIO 494 is a prerequisite.  [RQ#5616],Fall and Spring
BUS,1224,200,UGRD,Writing Intensive,,,Writing Intensive,BUS 200 - LEGAL & REGULATORY ENVIRONMENT,"An examination of the legal environment of business, particularly as it relates to the competing interests of a business' various stakeholders. Current events, the lawmaking process, public policy issues, business ethics, and the role and functioning of the corporation are the major foci of this course.  This is a sophomore-level School of Business writing course.",1,Reserved for the School of Business students [RQ471],Fall and Spring
BUS,1224,360,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives",,BUS 360 - GLOBAL LAW & POLICY ISSUES FOR BUSINESS,"An introduction to the legal issues involved in global business, focusing on the effective management of legal risk.  This course will provide students with a basic understanding of the international legal framework and international business law concepts, such as corporate, employment and contract law principles.",1,,Course is offered once a year.
BUS,1224,375,UGRD,Liberal Learning Domains,,World Views & Ways of Knowing,,BUS 375 - INNOVATION,"This course is designed to encourage students to create new business ideas that can change the world, incrementally or otherwise.  It asks students to consider the importance of innovation in business, to study the creative process, and-as the centerpiece of the course-to draw on their learning from varied disciplines to create and make the case for new business ideas.  The course is inherently interdisciplinary; students create and support ideas by connecting across varied disciplines both within the business  school and from programs across the college curriculum.",1,,Course is offered once a year.
BUS,1224,385,UGRD,Liberal Learning Domains,,World Views & Ways of Knowing,,BUS 385 - BUSINESS ETHICS AND CORPORATE SOCIAL RESPONSIBILITY,"This course will study the moral challenges of business.  We will examine the corporation, the demands and limits of the marketplace, and the leading accounts of ethical behavior.  These concepts will be applied to real-world ethical cases faced by business organizations, their leaders, employees, and stakeholders.  Students will be asked to reflect on their assumptions about business and its role in society, and how values can shape career choices and the trajectory of a business enterprise.",1,Reserved for Junior or higher standing,Fall and Spring
BUS,1224,498,UGRD,Writing Intensive,,,Writing Intensive,BUS 498 - SEMINAR IN INTERDISCIPLINARY BUSINESS,"This writing intensive capstone seminar will provide students in the interdisciplinary business specialization with the opportunity to utilize the multi-disciplinary knowledge they have gained during their years of study to examine a current business issue.  Students will research and discuss the topic under study from a variety of perspectives and report their findings and recommendations in memos, research reports, and presentations.  The subject under study will change each semester to reflect current business conditions.  This is a senior-level writing course for students in the interdisciplinary business specialization.",1,BUS 200 and MGT 201 and MKT 201 and FIN 201 and ACC 201 and MIT 201 are all prerequisites; senior standing; and reserved for Interdisciplinary Business Majors. [RQ1057],Fall and Spring
CHE,1224,201,UGRD,Liberal Learning Domains,,Natural Science,,CHE 201 - GENERAL CHEMISTRY I,Laws and theories of matter in its various states: atomic and molecular structure from quantum and orbital interpretations; kinetics and equilibrium; periodicity and properties.  Quantitative experiments coordinated with lectures.  A working knowledge of elementary algebra is required.  Successful completion of a high school chemistry course is strongly recommended.,1,"MAT 096 or MAT 120 is a prerequisite, or MAT 096 or MAT 120  is a corequisite; or an SAT math score >=650; or an ACT math score >=29; or MAT 127 is a corequisite. [RQ5055]",Fall and Spring
CHE,1224,202,UGRD,Liberal Learning Domains,,Natural Science,,CHE 202 - GENERAL CHEMISTRY II,Laws and theories of matter in its various states: atomic and molecular structure from quantum and orbital interpretations; kinetics and equilibrium; periodicity and properties.  Quantitative experiments coordinated with lectures.  A working knowledge of elementary algebra is required.  Successful completion of a high school chemistry course is strongly recommended.,1,"CHE 201 or HON 201, both with a minimum grade of C-, is a prerequisite [RQ6169]",Fall and Spring
CHE,1224,370,UGRD,Liberal Learning Domains,,Natural Science,,CHE 370 - SPECIAL TOPICS IN CHEMISTRY,Selected topics of current relevance and interest in chemistry will be presented by faculty and guest lecturers with special areas of competency. Topics will be announced in advance.,1,,Fall and Spring
CHI,1224,360,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,World Views & Ways of Knowing,,CHI 360 - CHINESE PHILOSOPHY AND CALLIGRAPHY,"This course focuses on the development of Chinese philosophy and its modern applications, combined with learning the Chinese calligraphy technique. The dual emphasis on philosophy and the aesthetics of Chinese calligraphy will provide students with a more comprehensive understanding of the background and the practice of Chinese philosophy. A comparative approach to those materials will present students with ¿divergent points of view in the global community¿ and require that they learn to ¿recognize and respect a culture or society that is different from their own and comprehend some of its connections with other parts of the world.¿ This course will be conducted in English.",1,,Spring
CLS,1224,108,UGRD,Liberal Learning Domains,,Social Change in Historical Perspectives,,CLS 108 - LATE ANTIQUITY,"Tracing the breakdown of Mediterranean unity and the emergence of the multicultural-religious world of the 5th to 10th centuries as the European, West Asian, and North African hinterlands interact.",1,,Fall and Spring
CLS,1224,170,UGRD,Liberal Learning Domains,,Social Change in Historical Perspectives,,CLS 170 - TOPICS IN CLASSICAL STUDIES,"This is a Topics Course with no prerequisites, open to and appropriate for first-year students.",.25 - 1,,Occasionally
CLS,1224,250,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,CLS 250 - INTRODUCTION TO GREEK MYTHOLOGY,"An introduction to ancient Greek mythology through primary texts in English translation such as Homer's Iliad and Odyssey, Aeschylus' Agamemnon, Sophocles' Ajax, etc.  Focuses on the Trojan War cycle of myths and its greatest heroes in order to understand how the ancient Greeks explored important aspects of their society through literature that ostensibly presents mythological events and characters.  Attention is also given to visual representations of myth in sculpture and on vases and to differentiating the ancient Greek concept of ""myth"" from our own.",1,,Fall and Spring
CLS,1224,301,UGRD,Liberal Learning Domains,,Social Change in Historical Perspectives,,CLS 301 - CLASSICAL GREEK CIVILIZATION,"Investigation into the development of Classical Greek civilization, beginning with Homer and going through the Peloponnesian Wars.",1,,Occasionally
CMP,1224,337,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Race & Ethnicity,"Literary, Visual & Performing Arts",,CMP 337 - POSTCOLONIAL LITERATURE,"This course studies Anglophone literature in the wake of decolonization. With a focus on works produced in or about former European colonies, as well as an emphasis on postcolonial theory, this course equips students to think critically about the intersections between western and non-western traditions, imperialism, and globalization. Students will study fiction, poetry, drama, non-fiction, and/or film from at least two different postcolonial sites such as Nigeria, the Caribbean, Australia, India, etc.",1,,Occasionally
CMP,1224,340,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender|Race & Ethnicity,"Literary, Visual & Performing Arts|VPA for School of Education",,CMP 340 - EDUCATIONAL EQUITY AND SOCIAL JUSTICE IN DOCUMENTARY FILM,"This course will utilize documentary films to understand the concepts of intersectionality, structural justice, and social change as they pertain to schooling in the United States. Student will move beyond a survey-model of diversity (e.g.""isms"", one-dimensional identity categories) to understand how perceptions of difference are situated within larger societal norms. This course uses the narratives of documentary films to facilitate participants' analysis of their own location(s) within various social institutions and a deeper understanding of educational policy and practice. Students will create their own short documentary film that demonstrates their analysis of key content from this course.",1,,"Fall, Spring and Summer"
COM,1224,118,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,COM 118 - INTRODUCTION TO TELEVISION STUDIES,"Why study television? Is broadcast television a dying form or are we in a new ¿golden age¿? What are the possibilities and challenges of representation in the post-network era? This course will examine the diverse ways that television has been conceptualized, theorized, and analyzed by media scholars in the discipline of television studies. We will use different critical perspectives to examine television as an industry, a mode of entertainment, and a site of textual meaning by exploring how economic and political forces, technological innovation, advertisers, creative producers, and audiences have interacted to shape how these cultural products, narratives and processes have become part of our social history.",1,,"Fall, Spring and Summer"
COM,1224,172,UGRD,Writing Intensive,,,Writing Intensive,COM 172 - INTRO TO MEDIA COMMUNICATION,"Surveys broadcast, print, and digital communication industries in terms of their origins, development, and social impact.  Students are introduced to various theoretical perspectives of media ownership and the press, industry practices, and media influence.  Ethical, legal, political, and economic issues surrounding the mass media are also analyzed.",1,,Fall and Spring
COM,1224,242,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,COM 242 - INTERPERSONAL COMMUNICATION,"Examines interpersonal communication, combining theory with practice; emphasizes the uniqueness of interpersonal communication as opposed to communication in other settings.",1,,Fall and Spring
COM,1224,293,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,COM 293 - HEALTH & RISK COMMUNICATION:A SOCIAL MARKETING APPROACH,"This course examines the impact of public communication campaigns, in particular health communication campaigns, aimed at informing and persuading mass audiences.  Special attention is given to the selection of achievable objectives, to the integration of carefully chosen strategies with specific tactics for designing successful campaigns, and to the evaluation of campaign effectiveness.",1,,Fall and Spring
COM,1224,390,UGRD,Liberal Learning Domains|Writing Intensive,,Quantitative Reasoning,Writing Intensive,COM 390 - METHODS OF COMM RESEARCH & ANALYSIS,"An introduction to several major methodologies for analyzing, discovering, and testing observations about communication processes and effects in both print and electronic media.  Perspectives include experimental, survey, and content analysis.  Students completing this course should be able to critically evaluate communication and other behavioral and scientific research.",1,Reserved for  Juniors and Seniors or by permission of instructor. [RQ128],"Fall, Spring and Summer"
COM,1224,411,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,COM 411 - INTERCULTURAL/RACIAL COMMUNICA,"Focuses on the importance of developing one's ability to communicate effectively with people from diverse cultures and co-cultures. Through personal reflection, current event report, stereotype storytelling, intercultural film critique, students study communication within and between cultures and co-cultures, develop intercultural communication competence, and achieve personal growth, social responsibility, and worldmindedness. In addition, this course is an Advanced Community Engaged Learning (ACEL) course. Students are guided to conduct ethnographic studies at local non-profit organizations to create intercultural communication deliverables. Arranged culture tours of businesses and community gatherings prior to the experiences are provided.",1,,Fall
COM,1224,441,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,COM 441 - ORGANIZATIONS AND LEADERSHIP,"The study of the internal communication requirements of organizations.  Covers communication problems and solutions associated with conflict, interpersonal power and influence, communication varies, information flow, and communication channels.",1,,Spring
CRI,1224,215,UGRD,Liberal Learning Domains,,Quantitative Reasoning,,CRI 215 - DATA MANAGEMENT AND ANALYSIS,"The ability to manage, transform and analyze data is critical to those seeking advanced study in the social sciences, those aspiring to work in governmental agencies such as the Federal Bureau of Investigation, and even those seeking employment in local law enforcement. SAS is one of the most powerful software programs available to manage, transform and analyze data. SAS will be used exclusively in this course. This course provides the student with the rudiments of managing, transforming and summarizing variables and data sets using Base SAS.  Data management in Base SAS will be accomplished via the DATA step, procedure statements, and (time permitting) macros.",1,STA 115 or STA 215 is a prerequisite. [RQ#5708],Fall
CRI,1224,217,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives|Quantitative Reasoning",,CRI 217 - INTRODUCTION TO CRIME MAPPING,"This course introduces students to the theoretical and practical aspects of the geospatial analysis of crime. Using a lab instructional setting, students will learn to manage, transform, analyze, and interpret geospatial data in a Geographic Information System (GIS) to guide juvenile and criminal justice decision-making. Geospatial data are used to identify and propose solutions to common problems facing the justice system such recidivism, truancy, and strained police-community relations.",1,,Fall and Spring
CSC,1224,271,UGRD,Liberal Learning Domains,,Quantitative Reasoning,,CSC 271 - DISCRETE STRUCTURES OF COMPUTER SCI FOR MATH MAJORS,"This course is an addition to MAT 200: Proof Writing Through Discrete Mathematics, and is meant to explore discrete mathematics concepts and structures that are fundamental to computer science, but are not covered in that class. This course, together with MAT 200, replaces the CSC 270 requirement for Mathematics majors minoring in Computer Science.  Topics will include applications of number theory, recursion, graphs, trees, languages and grammars, and finite state machines.  This is a half unit course and will consist of one weekly session instead of the usual two.",.5,"MAT 200 & CSC 220 with a grade of C or higher, or CSC215 or CSC250 in lieu of CSC 220, are prerequisites. .  [RQ#6124]",Fall and Spring
CSC,1224,275,UGRD,Liberal Learning Domains,,Quantitative Reasoning,,CSC 275 - MINI COURSE IN COMPUTER SCIENCE,"Through faculty guided lecture and active learning  experiences, students explore a topic in the field of computer science.  This course  provides  an opportunity to broaden understanding of computing principles  and develop skills beyond the traditional curriculum. Students may learn programming languages, software tools, or hardware platforms. Students may engage in software use and development, as well as in technical readings  and discussion. Course topics dictate the length and weight of the course.  The course may be repeated with change of topic.  Free elective credit only.",.25 - .5,Prerequisites are determined by the specific course topic.  [RQ#6184],"Fall, Spring and Summer"
CSC,1224,399,UGRD,Writing Intensive,,,Writing Intensive,CSC 399 - INTERNSHIP IN COMPUTER SCIENCE,"A supervised computer-related field experience in industrial, governmental, or private sector.  Faculty supervisor advises the student where to focus the learning objective for the given internship.  A project at the internship is to be the level of research in junior/senior independent study topics in computer science.  Grading is a letter grade.   A comprehensive paper, reflective essay, on-site visit, and poster presentation are required. This course is restricted to CS majors.",1,"CSC 325, CSC 335, CSC 345 & CSC 415, a college-specified minimum GPA of 2.5, and departmental consent, are prerequisites.  [RQ#5867]",Fall and Spring
CSC,1224,415,UGRD,Writing Intensive,,,Writing Intensive,CSC 415 - SOFTWARE ENGINEERING,"This course introduces students to software engineering with an emphasis on collaborative problem solving and software application development. It aims to integrate the principles of computer science and other disciplines to develop systematic models and reliable techniques for producing high-quality software. The Unified Modeling Language is used to describe each stage of application development, particularly analysis and design.",1,"CSC 230, CSC 270 and MAT 127 each with a grade of  C or higher are prerequisites.  Non-majors may use CSC 250 in lieu of CSC 230.  Mathematics majors may use MAT 200 and CSC 271 each with a grade of C or higher in liew of CSC 270. [RQ#6057]",Fall and Spring
CSC,1224,426,UGRD,Liberal Learning Domains,,Quantitative Reasoning,,CSC 426 - MACHINE LEARNING,"This course provides an introduction to machine learning. Machine learning is when computers learn from patterns in previously observed data how to make useful predictions about new data. The course will cover mathematical and computational foundations of machine learning algorithms. Supervised machine learning algorithms such as neural networks will be covered, as well as applications.",1,CSC 230 and CSC 270  and MAT 127 each with grade of C or higher.  Non-majors may use CSC 250 in lieu of CSC230.  Mathematics majors may use MAT200 and CSC271 in lieu of CSC270. [RQ#6385],Occasionally
CSC,1224,498,UGRD,Writing Intensive,,,Writing Intensive,CSC 498 - MENTORED RESEARCH 1,"Intensive study of an advanced topic in computer science under the supervision of a faculty mentor. Emphasizes student activity, use of journals and monographs, discussions, solution and presentations of problems. This course culminates in the writing of a journal-style paper and the presentation of a public lecture. In order to satisfy the one course unit capstone requirement for the major, this course must be completed within a single semester or within two consecutive semesters with the same project and mentoring faculty, and includes a presentation of a public lecture or a poster.",.25 - 1,"CSC 415 with a grade of C or higher, minimum 2.5 GPA, minimum of 12 earned course units, and departmental consent. [RQ#5953]",Fall and Spring
CSC,1224,499,UGRD,Writing Intensive,,,Writing Intensive,CSC 499 - MENTORED RESEARCH 2,"CSC 499/Mentored Research II in Computer Science 0.25, 0.5, 0.75 or 1 course unit (every semester) Prerequisites: CSC 498, minimum 2.5 GPA, and minimum of 12 earned course units, and permission of faculty mentor For continuing projects begun in CSC 498.",.25 - 1,"CSC 498 is a prerequisite, minimum 2.5 GPA, minimum of 12 earned course units, and departmental consent.  [RG5632]",Fall and Spring
ECE,1224,102,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,ECE 102 - MULTICULTURAL CHILDREN'S LITERATURE,"Explores the use of children's literature in literacy instruction as a vehicle to help children learn about themselves and their place in the world. Students develop skills in selecting and critiquing various genres, as well as how to incorporate children's literature in the classroom in a developmentally appropriate manner.  Through this course, students will be exposed to a variety of award winning and multicultural literature.",1,,Fall and Spring
ECE,1224,113,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts|VPA for School of Education",,ECE 113 - SP.ED. AND THE ARTS IN ELE/ECE CLASSROOMS,"Throughout this course, students will gain an understanding of the array of exceptional learners, disability classifications/characteristics, ELL students, legislative expectations for these individuals related to educational service (IDEA, FAPE, LRE, 504, etc.). The coursework will examine the key role of creativity in music, dance/movement, visual arts, drama, and play in the development of children. The diversity that occurs within these expressive avenues is studies to develop an understanding of how development, culture, community, and family play a role.",1,,Fall and Spring
ECE,1224,201,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,ECE 201 - INFANT THRU ADOL DEV EARLY CHILD,"Emphasizes the educational implications and applications of research on child development, cognitive science, learning, and teaching from pre-birth through adolescence.  Topics of theories of human development, process, and changes of human development with a focus on the cognitive, social, and emotional aspects and the interplay of each domain are included in the course.  Additionally, the course covers topics of individual and cultural variations and adapting instruction to meet students' individual differences-social differences, emotional differences, and cognitive differences.  Simultaneously, through the assignments designed for the course, students will develop skills of observation, application, and analysis.",1,EDU 096 is a prerequisite and RAL 222 is a corequisite. [RQ#392],Fall and Spring
