SUBJECT,STRM,CATALOG_NBR,ACAD_CAREER,CLASS_ATTRIBUTES,CLASS_ATTRIBUTE_VALUES,COURSE_TITLE,DESCRLONG,UNITS,ENROLL_REQUIREMENTS,OFFERED
CHE,1218,201,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,CHE 201 - GENERAL CHEMISTRY I,Laws and theories of matter in its various states: atomic and molecular structure from quantum and orbital interpretations; kinetics and equilibrium; periodicity and properties.  Quantitative experiments coordinated with lectures.  A working knowledge of elementary algebra is required.  Successful completion of a high school chemistry course is strongly recommended.,1,"MAT 096 or MAT 120 is a prerequisite, or MAT 096 or MAT 120  is a corequisite; or an SAT math score >=650; or an ACT math score >=29; or MAT 127 is a corequisite. [RQ5055]",Fall and Spring
CHE,1218,202,UGRD,Liberal Learning Domains,Natural Science,CHE 202 - GENERAL CHEMISTRY II,Laws and theories of matter in its various states: atomic and molecular structure from quantum and orbital interpretations; kinetics and equilibrium; periodicity and properties.  Quantitative experiments coordinated with lectures.  A working knowledge of elementary algebra is required.  Successful completion of a high school chemistry course is strongly recommended.,1,"CHE 201 or HON 201, both with a minimum grade of C-, is a prerequisite [RQ6169]",Fall and Spring
CHI,1218,360,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|World Views & Ways of Knowing,CHI 360 - CHINESE PHILOSOPHY AND CALLIGRAPHY,"This course focuses on the development of Chinese philosophy and its modern applications, combined with learning the Chinese calligraphy technique. The dual emphasis on philosophy and the aesthetics of Chinese calligraphy will provide students with a more comprehensive understanding of the background and the practice of Chinese philosophy. A comparative approach to those materials will present students with ¿divergent points of view in the global community¿ and require that they learn to ¿recognize and respect a culture or society that is different from their own and comprehend some of its connections with other parts of the world.¿ This course will be conducted in English.",1,,Spring
CLS,1218,201,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,CLS 201 - HISTORY OF ANCIENT PHILOSOPHY,"Course tracing the development of philosophy in the West from its beginnings in 6th century B.C. Greece through the thought of Plato and Aristotle, especially focusing on questions concerning realty, knowledge, human nature, and the good life.  Attention is also given to the influence of the Greek philosophers on the Western tradition to the present day.",1,One Philosophy course is a prerequisite; or by permission of instructor. [RQ5248],Course is offered once a year.
CLS,1218,250,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",CLS 250 - INTRODUCTION TO GREEK MYTHOLOGY,"An introduction to ancient Greek mythology through primary texts in English translation such as Homer's Iliad and Odyssey, Aeschylus' Agamemnon, Sophocles' Ajax, etc.  Focuses on the Trojan War cycle of myths and its greatest heroes in order to understand how the ancient Greeks explored important aspects of their society through literature that ostensibly presents mythological events and characters.  Attention is also given to visual representations of myth in sculpture and on vases and to differentiating the ancient Greek concept of ""myth"" from our own.",1,,Fall and Spring
CLS,1218,270,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Social Change in Historical Perspectives,CLS 270 - TOPICS IN CLASSICAL STUDIES,"This is a Topics Course with no prerequisites, offered primarily for sophomores, juniors, and seniors.  It may not be appropriate for freshmen.",.25 - 1,SH Sophomore & higher level,Occasionally
CLS,1218,303,UGRD,Liberal Learning Domains,Social Change in Historical Perspectives,CLS 303 - HISTORY OF ROMAN REPUBLIC,Development of Rome from one of the ancient Italian city states to a position of mastery over Italy and the Mediterranean World.,1,,Fall and Spring
CLS,1218,305,UGRD,Liberal Learning Domains,Social Change in Historical Perspectives,CLS 305 - ANCIENT CHRISTIANITY,"Course focusing on the emergence of early Christianities during the first four centuries of the Common Era, in the Roman Empire and surrounding areas.  The course will take into account the philosophical, political, cultural, and religious interactions (conflicts and differences within emerging communities) which challenged Christian groups and gradually shaped the Catholic Orthodox faith. Beliefs, ritual practices, scriptures, and structures of authority will be examined.  We will also address issues of anti-Jewish sentiment, issues involving the theological understanding and role of women, and the role of violence in these developments.",1,,Occasionally
CLS,1218,404,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Gender|Literary, Visual & Performing Arts",CLS 404 - WOMEN IN CLASSICAL ART,"This course is designed for upper-level students.  We will be investigating the representation of women in ancient sculpture, painting, and the minor arts, as well as the architecture and structure of ancient houses and other spaces used by women.  In addition, the roles of women as patrons of the arts will be examined.  Emphasis will be placed on the interpretation of art and architecture in relation to the social and cultural roles that women fulfilled in the Greek and Roman worlds.",1,,Occasionally
CMP,1218,340,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Gender|Literary, Visual & Performing Arts|Race & Ethnicity|VPA for School of Education",CMP 340 - EDUCATIONAL EQUITY AND SOCIAL JUSTICE IN DOCUMENTARY FILM,"This course will utilize documentary films to understand the concepts of intersectionality, structural justice, and social change as they pertain to schooling in the United States. Student will move beyond a survey-model of diversity (e.g.""isms"", one-dimensional identity categories) to understand how perceptions of difference are situated within larger societal norms. This course uses the narratives of documentary films to facilitate participants' analysis of their own location(s) within various social institutions and a deeper understanding of educational policy and practice. Students will create their own short documentary film that demonstrates their analysis of key content from this course.",1,,"Fall, Spring and Summer"
COM,1218,117,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",COM 117 - INTRODUCTION TO FILM STUDIES,"The course is meant as an introduction to basic concepts of film analysis. We will examine how formal elements like cinematography, editing, mise en scene and sound are used to create meaning in film. We will also consider how genre, authorship, film history, ideology, and gender, among other critical approaches, can be used to analyze films. In addition to screening and discussing clips from mainstream film and television, we will also examine alternative practices (from independent film and global cinemas) that challenge these conventions.",1,,Fall and Spring
COM,1218,118,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",COM 118 - INTRODUCTION TO TELEVISION STUDIES,"Why study television? Is broadcast television a dying form or are we in a new ¿golden age¿? What are the possibilities and challenges of representation in the post-network era? This course will examine the diverse ways that television has been conceptualized, theorized, and analyzed by media scholars in the discipline of television studies. We will use different critical perspectives to examine television as an industry, a mode of entertainment, and a site of textual meaning by exploring how economic and political forces, technological innovation, advertisers, creative producers, and audiences have interacted to shape how these cultural products, narratives and processes have become part of our social history.",1,,"Fall, Spring and Summer"
COM,1218,172,UGRD,Writing Intensive,Writing Intensive,COM 172 - INTRO TO MEDIA COMMUNICATION,"Surveys broadcast, print, and digital communication industries in terms of their origins, development, and social impact.  Students are introduced to various theoretical perspectives of media ownership and the press, industry practices, and media influence.  Ethical, legal, political, and economic issues surrounding the mass media are also analyzed.",1,,Fall and Spring
COM,1218,242,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",COM 242 - INTERPERSONAL COMMUNICATION,"Examines interpersonal communication, combining theory with practice; emphasizes the uniqueness of interpersonal communication as opposed to communication in other settings.",1,,Fall and Spring
COM,1218,293,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",COM 293 - HEALTH & RISK COMMUNICATION:A SOCIAL MARKETING APPROACH,"This course examines the impact of public communication campaigns, in particular health communication campaigns, aimed at informing and persuading mass audiences.  Special attention is given to the selection of achievable objectives, to the integration of carefully chosen strategies with specific tactics for designing successful campaigns, and to the evaluation of campaign effectiveness.",1,,Fall and Spring
COM,1218,370,UGRD,Liberal Learning Civic Resp.,Gender,COM 370 - TOPICS IN COMMUNICATION STUDIES,"Focuses on a significant historical or theoretical topic, or on studio and performance skills; may be repeated when topic changes.",1,,Fall and Spring
COM,1218,381,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",COM 381 - ISSUES IN FILM HISTORY,"This is an advanced film history course on methodologies used in writing film history and critical analysis. It is designed to be a third-level course for students in the Radio/TV/Film track in which they are expected to apply concepts from diverse methodologies used in film history, theory, and criticism to the subject under study. Topics may include Film Noir (or other historical film movements), Irish Cinema (or other National Cinemas), or Experimental Film (or other genres) depending on the instructor¿s area of expertise. In each case, students will be expected to use writing as a way of learning more about a topic in film history and the standards of scholarship in the discipline.",1,"PRE: COM117, COM118  or COM 271 is a prerequisite [RG5615]",Fall
COM,1218,390,UGRD,Liberal Learning Domains|Writing Intensive,Quantitative Reasoning|Writing Intensive,COM 390 - METHODS OF COMM RESEARCH & ANALYSIS,"An introduction to several major methodologies for analyzing, discovering, and testing observations about communication processes and effects in both print and electronic media.  Perspectives include experimental, survey, and content analysis.  Students completing this course should be able to critically evaluate communication and other behavioral and scientific research.",1,Reserved for  Juniors and Seniors or by permission of instructor. [RQ128],"Fall, Spring and Summer"
COM,1218,411,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Race & Ethnicity",COM 411 - INTERCULTURAL/RACIAL COMMUNICA,"Focuses on the importance of developing one's ability to communicate effectively with people from diverse cultures and co-cultures. Through personal reflection, current event report, stereotype storytelling, intercultural film critique, students study communication within and between cultures and co-cultures, develop intercultural communication competence, and achieve personal growth, social responsibility, and worldmindedness. In addition, this course is an Advanced Community Engaged Learning (ACEL) course. Students are guided to conduct ethnographic studies at local non-profit organizations to create intercultural communication deliverables. Arranged culture tours of businesses and community gatherings prior to the experiences are provided.",1,,Fall
COM,1218,415,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,COM 415 - INTERNATIONAL COMMUNICATION,"This research seminar and writing laboratory is primarily a workshop in learning how to conduct original research comparing cross-national media coverage of critical issues, issues selected by students themselves. The course also examines the history of international communication -- with special emphasis on institutions, innovative technologies and economic and national demographic configurations that correspond with cross-national variations in coverage of significant issues. Students produce scholarship that typically meets professional standards.",1,Reserved for  Juniors and Seniors or by permission of instructor. [RQ128],Fall and Spring
COM,1218,441,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",COM 441 - ORGANIZATIONS AND LEADERSHIP,"The study of the internal communication requirements of organizations.  Covers communication problems and solutions associated with conflict, interpersonal power and influence, communication varies, information flow, and communication channels.",1,,Spring
CRI,1218,100,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",CRI 100 - INTRODUCTION TO CRIMINOLOGY,"Students will explore the historic need in societies to shape and control the behavior of their members so that they conform to established group norms. The course will examine the complex interaction between factors such as culture, law, power and equity that contribute to the maintenance of social order.  It will address the development of legal systems from the social science perspectives; investigate the nature of normative social control (sociological theory relative to conformity, conflict and power); and explore, in both a historical and contemporary vein, the development and maturation of formal justice systems (enforcement, adjudication and corrections) which act coercively against rule violators.",1,,Fall and Spring
CRI,1218,202,UGRD,Writing Intensive,Writing Intensive,CRI 202 - Penology,"This course examines the competing rationales of punishment. It traces how the concept of punishment has evolved over time from ancient forms of punishment to present day incarceration. Special topics such as female inmates will be explored. Amendments to the United States Constitution and decisions from the United States Supreme Court relevant to correctional issues will be carefully examined. Finally, there will also be an exploration of the various forms of community corrections (e.g., probation, parole, residential programs, day reporting centers, etc.) and how they fit into a correctional continuum and the issues surrounding the use of the community corrections resources.",1,,Fall and Spring
CRI,1218,205,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",CRI 205 - CRIMINOLOGY,"This course provides a general introduction to the study of criminal behavior from an interdisciplinary perspective.  The history of criminology as a discipline will be examined. Criminological theories of crime and criminality from classical theories to modern developmental theories will be carefully examined. Students will learn to review and interpret various data sources from the Uniform Crime Reports, the National Crime Victimization Survey, and self-reports.",1,,Fall and Spring
CRI,1218,215,UGRD,Liberal Learning Domains,Quantitative Reasoning,CRI 215 - DATA MANAGEMENT AND ANALYSIS,"The ability to manage, transform and analyze data is critical to those seeking advanced study in the social sciences, those aspiring to work in governmental agencies such as the Federal Bureau of Investigation, and even those seeking employment in local law enforcement. SAS is one of the most powerful software programs available to manage, transform and analyze data. SAS will be used exclusively in this course. This course provides the student with the rudiments of managing, transforming and summarizing variables and data sets using Base SAS.  Data management in Base SAS will be accomplished via the DATA step, procedure statements, and (time permitting) macros.",1,STA 115 or STA 215 is a prerequisite. [RQ#5708],Fall
CRI,1218,301,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",CRI 301 - CRIMINAL LAW AND PROCEDURE,"This course examines the nature, purpose, and function, and substance of criminal law and criminal procedure in the United States. Specific focus is placed on the constitutional limits of the criminal sanction, the principles and scope of criminal responsibility, and elements of an offense.  Attention will also be paid to the rights of the accused and the application of protections afforded to individuals under the United States Constitution.",1,,Fall and Spring
CRI,1218,306,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",CRI 306 - RESEARCH METHODS,"This course focuses on principles of research methodology in the social sciences.  Elements of research design include unit(s) of analysis, measurement, sampling, survey construction, survey methodology, and data collection will be covered. Pre-experimental, quasi-experimental, and experimental designs are evaluated with respect to structure, implementation, and threats to validity.  Finally, students will be expected to critically evaluate published social science research in peer-reviewed journals.",1,CRI 215 or CRI 217 both with a C or better are a prerequisite. [RQ#446],
CRI,1218,499,UGRD,Writing Intensive,Writing Intensive,CRI 499 - SENIOR CAPSTONE POLICY ANALYSIS,"This course will provide the student with the ability to critically examine, assess and analyze criminal justice policy alternatives. Students will be expected to formulate policy options and craft policy proposals that present a thoughtful, cogent and reasoned rationale for the option being recommended. Students will learn the tools to persuasively present policy proposals. Various sentencing policy changes that have affected correctional populations in the United States such as drug policies will be explored. Finally, students will have to conduct cost-benefit analyses and return on investment calculations.",1,CRI 306 with a grade of C or better is a prerequisite. [RQ5116],Fall and Spring
CSC,1218,102,UGRD,Liberal Learning Domains,Quantitative Reasoning,CSC 102 - INTRODUCTION TO COMPUTATIONAL THINKING,"This course introduces students to computational thinking and the foundational concepts of computer  science, and challenges them to explore how computing and technology can impact the world. Students  will focus on creative problem solving and real-world applications. They will analyze problems, evaluate  proposed solutions, and create computational artifacts, while learning about algorithms, data and  information, and abstraction. Issues related to the Internet and the global impact of computing will  also be discussed. This course may not be taken by computer science majors without permission of the department,  and then only for free elective credit.",1,,Occasionally
CSC,1218,215,UGRD,Liberal Learning Domains,Quantitative Reasoning,CSC 215 - CS I FOR SCIENCE/ENGINEERING,"An introduction to computing and object-oriented programming, with an emphasis on using computational methods to develop algorithms to solve scientific problems. Topics include control structures, data typing including structures and arrays, parameterized procedures, objects and classes, and recursion as well as simple I/O control. This course may not be taken by computer science majors without permission of the department, and then only for free elective credit.",1,,Fall and Spring
CSC,1218,220,UGRD,Liberal Learning Domains,Quantitative Reasoning,CSC 220 - CS I: COMPUT PRBL SOLVING,"A first course in computer science for computer science majors in which students learn to express algorithmic ideas in an abstract manner. An object-oriented language such as Java will be introduced; however, the emphasis is on algorithmic design and implementation rather than language mechanics. Students will become intimately familiar with expressing mathematical ideas as programs.",1,,Fall and Spring
CSC,1218,230,UGRD,Liberal Learning Domains,Quantitative Reasoning,CSC 230 - CS II: DATA STRUCTURES,"A second course in computer science in which students learn how the algorithms and structures studied in CSC 220 are implemented. Classic data structures (lists, queues, stacks, trees, and hash tables) and algorithms (searching and sorting) are considered. The analysis of implementation techniques is addressed by studying the trade-offs between static and dynamic structures. A second object-oriented programming language is introduced. A C++ test is required for students approved to transfer an equivalent course in which C++ was not covered.",1,CSC 220 with a grade of C or higher is a prerequisite [RQ172],Fall and Spring
CSC,1218,250,UGRD,Liberal Learning Domains,Quantitative Reasoning,CSC 250 - ACCELERATED CS 1 AND 2,"A first, intensive course in computer science for non-majors with demonstrated programming experience.  The basic introduction to programming (as covered in CSC 220) is considered a review, while the emphasis on problem solving and solution design is presented within the context of a thorough grounding in the classic data structures using the modern object-oriented framework.  NOTE: Students approved to take CSC 250 must complete an additional CS option for the  major or minor.",1,CSC 215 with  a grade of C or higher is a prerequisite; for non-majors only. [RQ5170],Fall
CSC,1218,270,UGRD,Liberal Learning Domains,Quantitative Reasoning,CSC 270 - DISCRETE STRUCTURES,"This course introduces students to concepts and structures fundamental to computer science, while emphasizing algorithmic thinking, mathematical reasoning, and their applications. Topics include logic, proofs, sets, functions, relations, graphs, induction, recursion, languages and grammars, and finite-state machines.",1,"CSC 220 with a grade of C or higher; CSC 215 or CSC 250 with a grade of C or higher is permitted for non majors.   MAT 127 is a co-requisite, or if taken previously must have a grade of C or higher.  [RQ#5678]",Fall and Spring
CSC,1218,271,UGRD,Liberal Learning Domains,Quantitative Reasoning,CSC 271 - DISCRETE STRUCTURES OF COMPUTER SCI FOR MATH MAJORS,"This course is an addition to MAT 200: Proof Writing Through Discrete Mathematics, and is meant to explore discrete mathematics concepts and structures that are fundamental to computer science, but are not covered in that class. This course, together with MAT 200, replaces the CSC 270 requirement for Mathematics majors minoring in Computer Science.  Topics will include applications of number theory, recursion, graphs, trees, languages and grammars, and finite state machines.  This is a half unit course and will consist of one weekly session instead of the usual two.",.5,"MAT 200 & CSC 220 with a grade of C or higher, or CSC215 or CSC250 in lieu of CSC 220, are prerequisites. .  [RQ#6124]",Fall and Spring
CSC,1218,275,UGRD,Liberal Learning Domains,Quantitative Reasoning,CSC 275 - MINI COURSE IN COMPUTER SCIENCE,"Through faculty guided lecture and active learning  experiences, students explore a topic in the field of computer science.  This course  provides  an opportunity to broaden understanding of computing principles  and develop skills beyond the traditional curriculum. Students may learn programming languages, software tools, or hardware platforms. Students may engage in software use and development, as well as in technical readings  and discussion. Course topics dictate the length and weight of the course.  The course may be repeated with change of topic.  Free elective credit only.",.25 - .5,Prerequisites are determined by the specific course topic.  [RQ#6184],"Fall, Spring and Summer"
CSC,1218,355,UGRD,Liberal Learning Domains,Quantitative Reasoning,CSC 355 - HUMAN COMPUTER INTERACTION,"This course will cover various aspects of the interaction between computer systems and human operators. Topics covered will include the underlying principles for human computer interaction, from aspects of human perception and memory, to user interface design. The course will culminate in a final project in which students will design and implement their own HCI applications.",1,MAT 127 and CSC 230 and CSC 270 each with grade of C or higher.  Non-majors may use CSC 250 in lieu of CSC230.  Mathematics majors may use MAT200 and CSC271 in lieu of CSC270. [RQ#6173],Occasionally
CSC,1218,399,UGRD,Writing Intensive,Writing Intensive,CSC 399 - INTERNSHIP IN COMPUTER SCIENCE,"A supervised computer-related field experience in industrial, governmental, or private sector.  Faculty supervisor advises the student where to focus the learning objective for the given internship.  A project at the internship is to be the level of research in junior/senior independent study topics in computer science.  Grading is a letter grade.   A comprehensive paper, reflective essay, on-site visit, and poster presentation are required. This course is restricted to CS majors.",1,"CSC 325, CSC 335, CSC 345 & CSC 415, a college-specified minimum GPA of 2.5, and departmental consent, are prerequisites.  [RQ#5867]",Fall and Spring
CSC,1218,415,UGRD,Writing Intensive,Writing Intensive,CSC 415 - SOFTWARE ENGINEERING,"This course introduces students to software engineering with an emphasis on collaborative problem solving and software application development. It aims to integrate the principles of computer science and other disciplines to develop systematic models and reliable techniques for producing high-quality software. The Unified Modeling Language is used to describe each stage of application development, particularly analysis and design.",1,"CSC 230, CSC 270 and MAT 127 each with a grade of  C or higher are prerequisites.  Non-majors may use CSC 250 in lieu of CSC 230.  Mathematics majors may use MAT 200 and CSC 271 each with a grade of C or higher in liew of CSC 270. [RQ#6057]",Fall and Spring
CSC,1218,498,UGRD,Writing Intensive,Writing Intensive,CSC 498 - MENTORED RESEARCH 1,"Intensive study of an advanced topic in computer science under the supervision of a faculty mentor. Emphasizes student activity, use of journals and monographs, discussions, solution and presentations of problems. This course culminates in the writing of a journal-style paper and the presentation of a public lecture. In order to satisfy the one course unit capstone requirement for the major, this course must be completed within a single semester or within two consecutive semesters with the same project and mentoring faculty, and includes a presentation of a public lecture or a poster.",.25 - 1,"CSC 415 with a grade of C or higher, minimum 2.5 GPA, minimum of 12 earned course units, and departmental consent. [RQ#5953]",Fall and Spring
CSC,1218,499,UGRD,Writing Intensive,Writing Intensive,CSC 499 - MENTORED RESEARCH 2,"CSC 499/Mentored Research II in Computer Science 0.25, 0.5, 0.75 or 1 course unit (every semester) Prerequisites: CSC 498, minimum 2.5 GPA, and minimum of 12 earned course units, and permission of faculty mentor For continuing projects begun in CSC 498.",.25 - 1,"CSC 498 is a prerequisite, minimum 2.5 GPA, minimum of 12 earned course units, and departmental consent.  [RG5632]",Fall and Spring
CWR,1218,301,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",CWR 301 - WRITING COMMUNITIES,"Students explore the world of contemporary literature and learn practical applications for their research and writing skills. The course offers students exposure to careers that require the skills they are developing via the English major and/or Creative Writing minor. Assignments are drawn from a variety of professional fields, such as publishing, editing, marketing, and publicity. Students in this class organize TCNJ's Visiting Writers Series and gain hands-on experience working with authors and planning events.",1,,Fall
DHH,1218,303,UGRD,Writing Intensive,Writing Intensive,DHH 303 - LANG DEV IN IND WHO ARE DEAF/HH,"Given an understanding of typical communication, speech and language development, this course examines the family and school issues that influence language development and growth in deaf or hard of hearing (D/HH) children and adolescents.  Students will learn how to design a learning environment and activities that naturally encourage language development and growth with respect to the child's communicative modality and the goal of promoting English literacy.",1,,Fall
ECE,1218,102,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",ECE 102 - MULTICULTURAL CHILDREN'S LITERATURE,"Explores the use of children's literature in literacy instruction as a vehicle to help children learn about themselves and their place in the world. Students develop skills in selecting and critiquing various genres, as well as how to incorporate children's literature in the classroom in a developmentally appropriate manner.  Through this course, students will be exposed to a variety of award winning and multicultural literature.",1,,Fall and Spring
ECE,1218,113,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts|VPA for School of Education",ECE 113 - SP.ED. AND THE ARTS IN ELE/ECE CLASSROOMS,"Throughout this course, students will gain an understanding of the array of exceptional learners, disability classifications/characteristics, ELL students, legislative expectations for these individuals related to educational service (IDEA, FAPE, LRE, 504, etc.). The coursework will examine the key role of creativity in music, dance/movement, visual arts, drama, and play in the development of children. The diversity that occurs within these expressive avenues is studies to develop an understanding of how development, culture, community, and family play a role.",1,,Fall and Spring
ECE,1218,201,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",ECE 201 - INFANT THRU ADOL DEV EARLY CHILD,"Emphasizes the educational implications and applications of research on child development, cognitive science, learning, and teaching from pre-birth through adolescence.  Topics of theories of human development, process, and changes of human development with a focus on the cognitive, social, and emotional aspects and the interplay of each domain are included in the course.  Additionally, the course covers topics of individual and cultural variations and adapting instruction to meet students' individual differences-social differences, emotional differences, and cognitive differences.  Simultaneously, through the assignments designed for the course, students will develop skills of observation, application, and analysis.",1,EDU 096 is a prerequisite and RAL 222 is a corequisite. [RQ#392],Fall and Spring
ECO,1218,101,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",ECO 101 - PRINCIPLES OF MICROECONOMICS,An introduction to the analysis of price determination in product and resource markets under varying market structures in a capitalistic system.  A research paper is required.,1,"MAT 095 or MAT 096 or MAT 119 or MAT 120 or MAT 125 or MAT 127, or an SAT math score of 550 or better or an ACT score of 24 or better, is a prerequisite. [RQ5172]",Fall and Spring
ECO,1218,102,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",ECO 102 - PRINCIPLES OF MACROECONOMICS,"A introduction to the measurement and analysis of the aggregate level of economic activity including unemployment, interest rates, inflation, exchange rates and economic growth. Government fiscal and monetary policies are examined along with international economic interactions.",1,"MAT 095 or MAT 096 or MAT 119 or MAT 120 or MAT 125 or MAT 127, or an SAT math score of 550 or better or an ACT score of 24 or better, is a prerequisite. [RQ5172]",Fall and Spring
ECO,1218,105,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Quantitative Reasoning",ECO 105 - STATISTICS I,"This course embeds the statistical tests covered in a typical introductory statistics course into a broader framework aimed at developing students¿ ability to construct arguments using statistics. To construct statistical arguments, we must first make a meaningful comparison. Consequently, the course covers measurement issues, statistical fallacies, and threats to validity before considering point estimation, confidence intervals, hypothesis testing, and common statistical techniques including simple regression and correlation. Use of statistical software and data visualization are also covered.",1,MAT 095 is a prerequisite or a co-requisite. [RQ6176],Fall and Spring
ECO,1218,115,UGRD,Liberal Learning Domains,Social Change in Historical Perspectives,ECO 115 - AMERICAN ECONOMIC HISTORY,Examination of how economic forces impacted historical events in the United States from Colonial times to the end of World War II.  Basic economic theory and statistics will be utilized to examine a series of historical episodes in the development of the United States.  A research paper is required.,1,,Fall
ECO,1218,231,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",ECO 231 - APPLIED BUSINESS STATISTICS,"Application of statistical techniques to business problems including ANOVA, time-series analysis, and regression analysis.  The multiple regression model is emphasized. Computer applications are integrated.  Research paper required.",1,"ECO 105 or STA 115 or 215, and ECO 101 or ECO102, and MAT 125 or MAT 127 are prerequisites.. [RQ#5832]",Fall and Spring
ECO,1218,495,UGRD,Writing Intensive,Writing Intensive,ECO 495 - SENIOR THESIS IN ECONOMICS,"Independent research under faculty supervision.  Students must have a topic approved by their mentor (faculty advisor) prior to registration of this course.  This course is the capstone course and research course for economics. The student will complete a formal research paper and present it in front of the faculty members and students. (spring, and by arrangement)",1,ECO 494 is a prerequisite. [RQ#5833],Spring
EED,1218,380,UGRD,Writing Intensive,Writing Intensive,EED 380 - TEACHING WRITING,"This course will serve as an introduction to various theoretical and methodological approaches to the teaching of middle and high school English. Specifically, EED 380 will focus on the teaching of writing and provide information on writing with and about literature, implementing writing workshops, crafting developmental and holistic writing assessments, and negotiating standardized tests.",1,,Fall and Spring
EED,1218,390,UGRD,Writing Intensive,Writing Intensive,EED 390 - METHODS OF TEACH SECONDARY ENGL,"This course will serve as an introduction to various theoretical and methodological approaches to the teaching of middle and high school English. Specifically, EED 390 will focus on the teaching of reading and provide information on how to assess secondary students' reading needs, improve students' comprehension, develop developmentally appropriate, content-rich and standards-based curricula, and foster students' engagement in and ownership of their reading experiences.",1,LNG 201 or LNG 202 or WLC 215 is a prerequisite.  [RQ#6253],Fall and Spring
EED,1218,490,UGRD,Writing Intensive,Writing Intensive,EED 490 - STUDENT TEACHING ENGLISH,"Teaching during the senior year with approved teachers in the public schools. Supervised and observed by college and public school teachers. Observation, participation, and responsible teaching. Required for English education students.",2,,Fall and Spring
EFN,1218,427,UGRD,Liberal Learning Civic Resp.,Gender|Race & Ethnicity,EFN 427 - CRITICAL PEDAGOGY,"The purpose of this course is to engage in critical analyses of pedagogy to inform your practice in the classroom.  The course will provide an analysis of ""critical pedagogy"" to help you understand the underlying assumptions that are embedded in institutions, including schools.  By examining topics you already studied in prior courses we will look through new, critical lenses to interrogate issues of inequality by including the study of the theoretical and practical aspects of critical pedagogy. The instructor, in collaboration with students, will develop the major definitions, examine theories, and explore research. You will develop tools to assess your own practices and those of urban districts. We will study ways to enhance personal sensitivity to our own practice and reform techniques that change  undesirable/unproductive practices in school/districts.The course will conclude by reflecting on your prior practices and applying your new critical lenses to inform your future practice.",1,1 methods course in your teacher preparation program.  [RQ#6158],Fall and Spring
ELC,1218,496,UGRD,Writing Intensive,Writing Intensive,ELC 496 - SENIOR PROJECT II,"Senior project focuses students¿ previous experience upon a specific technical project. Library research, design, cost analysis, construction, testing, and project management. Students work closely with a faculty advisor.",.5,ELC 495 is a prerequisite.  [RQ#5923],Fall and Spring
ELE,1218,113,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts|VPA for School of Education",ELE 113 - SP.ED. AND THE ARTS IN ELE/ECE CLASSROOMS,"Throughout this course, students will gain an understanding of the array of exceptional learners, disability classifications/characteristics, ELL students, legislative expectations for these individuals related to educational service (IDEA, FAPE, LRE, 504, etc.). The coursework will examine the key role of creativity in music, dance/movement, visual arts, drama, and play in the development of children. The diversity that occurs within these expressive avenues is studies to develop an understanding of how development, culture, community, and family play a role.",1,,Fall and Spring
ELE,1218,201,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",ELE 201 - CHILD & ADOLESCENT DEVELOPMENT,"Emphasizes the educational implications and applications of research on child development, cognitive science, learning, and teaching from pre-birth through adolescence.  It is a systematic study of children in the elementary and middle school environment focusing on the whole child.  Through an analysis of child development theories and research on learning and cognition, students will gain a deeper understanding of how children and adolescents grow and learn in different cultural contexts.  The course includes instruction in the college classroom plus a weekly field experience.",1,EDU 096 is a prerequisite & RAL 221 is a corequisite. [RQ#396],Fall and Spring
